1,Washington,6288,6138,NH
2,Adams,5774,804,NH
3,Jefferson,5712,742,NH
4,Monroe,5384,254,NH
5,Madison,5367,466,NH
6,Lafayette,5260,3320,NH
7,Lincoln,5089,180,NH
8,South Twin,4902,1522,NH
9,Carter Dome,4832,2830,NH
10,Moosilauke,4802,2933,NH
11,Eisenhower,4780,350,NH
12,North Twin,4761,299,NH
13,Carrigain,4700,2240,NH
14,Bond,4698,299,NH
15,Middle Carter,4610,720,NH
16,West Bond,4540,299,NH
17,Garfield,4500,820,NH
18,Liberty,4459,379,NH
19,South Carter,4430,230,NH
20,"Wildcat, A peak",4422,1034,NH
21,Hancock,4420,1247,NH
22,South Kinsman,4358,2240,NH
23,Field,4340,1706,NH
24,Osceola,4340,200,NH
25,Flume,4328,408,NH
26,South Hancock,4319,1247,NH
27,Pierce,4310,235,NH
28,North Kinsman,4293,2240,NH
29,Willey,4285,256,NH
30,Bondcliff,4265,299,NH
31,Zealand,4260,246,NH
32,North Tripyramid,4180,1320,NH
33,Cabot,4170,2674,NH
34,East Osceola,4156,316,NH
35,Middle Tripyramid,4140,1320,NH
36,Cannon,4100,740,NH
37,Hale,4054,614,NH
38,Jackson,4052,331,NH
39,Tom,4051,331,NH
40,"Wildcat, D Peak",4050,1034,NH
41,Moriah,4049,922,NH
42,Passaconaway,4043,803,NH
43,Owl's Head,4025,825,NH
44,Galehead,4024,264,NH
45,Whiteface,4020,591,NH
46,Waumbek,4006,1289,NH
47,Isolation,4004,203,NH
48,Tecumseh,4003,1739,NH
